"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1358","test_login[case3]","cases","2026-04-13","passed","2026-04-13","TestAuth","test_auth","",""
"","805","test_add_cart","cases","2026-04-13","passed","2026-04-13","TestCart","test_cart","",""
"","1155","test_get_carts","cases","2026-04-13","passed","2026-04-13","TestCart","test_cart","",""
"","2019","test_login[case0]","cases","2026-04-13","passed","2026-04-13","TestAuth","test_auth","",""
"","3522","所有商品查询","cases","2026-04-13","passed","2026-04-13","TestProduct","test_product","",""
"","1058","查询单个商品","cases","2026-04-13","passed","2026-04-13","TestProduct","test_product","",""
"","1396","使用错误token","cases","2026-04-13","passed","2026-04-13","TestException","test_exception","",""
"","1363","test_full_cart_flow","cases","2026-04-13","passed","2026-04-13","TestCartFlow","test_cart_flow","",""
"","1371","test_login[case1]","cases","2026-04-13","passed","2026-04-13","TestAuth","test_auth","",""
"","1145","未登录访问需要 token 的接口","cases","2026-04-13","passed","2026-04-13","TestException","test_exception","",""
"","1127","test_login[case2]","cases","2026-04-13","passed","2026-04-13","TestAuth","test_auth","",""
